heap,n,full,last
binomial,4096,2578343,368
binomial,4096,2572072,388
binomial,4096,2455055,393
binomial,4096,2604592,369
binomial,4096,2454158,393
binomial,4096,2662931,410
binomial,4096,2491199,373
binomial,4096,2451192,475
binomial,4096,2438514,361
binomial,4096,2546525,390
binomial,4096,2459657,368
binomial,4096,2458784,420
binomial,4096,2649574,421
binomial,4096,2452239,381
binomial,4096,2430981,363
binomial,4096,2873618,385
binomial,4096,2466424,437
binomial,4096,2458491,345
binomial,4096,2521547,550
binomial,8192,5212415,432
binomial,8192,5132962,405
binomial,8192,4944177,384
binomial,8192,5080723,374
binomial,8192,5032951,698
binomial,8192,4993699,384
binomial,8192,5020727,425
binomial,8192,4909716,388
binomial,8192,5099743,399
binomial,8192,5443567,414
binomial,8192,5073975,405
binomial,8192,4977720,395
binomial,8192,5084540,604
binomial,8192,5732754,721
binomial,8192,5543983,408
binomial,8192,5056488,427
binomial,8192,5200988,413
binomial,8192,5333027,394
binomial,8192,4914428,375
binomial,8192,5099663,413
binomial,8192,4994762,394
binomial,8192,4937155,390
binomial,8192,5428175,397
binomial,8192,5673879,601
binomial,8192,5417488,414
binomial,8192,4972973,386
binomial,8192,5330308,560
binomial,8192,5076386,398
binomial,8192,5608947,418
binomial,8192,4983142,412
binomial,16384,10906867,400
binomial,16384,10630356,420
binomial,16384,10291916,430
binomial,16384,10348325,405
binomial,16384,10479555,438
binomial,16384,10642937,404
binomial,16384,11040438,450
binomial,16384,10896020,451
binomial,16384,10838446,459
binomial,16384,10133202,425
binomial,16384,10434747,429
binomial,16384,10091411,414
binomial,16384,10505685,399
binomial,16384,10425718,395
binomial,16384,10328714,392
binomial,16384,10664103,413
binomial,16384,10073234,380
binomial,16384,10349114,595
binomial,16384,10124948,395
binomial,16384,10298386,420
binomial,16384,10482054,502
binomial,16384,10768136,429
binomial,16384,10719654,402
binomial,16384,10298340,576
binomial,16384,10587222,397
binomial,16384,10240648,433
binomial,16384,10242026,389
binomial,16384,10439247,427
binomial,16384,11107803,385
binomial,16384,10952284,392
binomial,32768,20737890,415
binomial,32768,21153399,439
binomial,32768,21342273,388
binomial,32768,20720054,393
binomial,32768,21277128,424
binomial,32768,20748511,416
binomial,32768,20923662,411
binomial,32768,21459384,408
binomial,32768,20934034,420
binomial,32768,20837742,422
binomial,32768,21332575,418
binomial,32768,20840899,374
binomial,32768,21061447,392
binomial,32768,20855795,410
binomial,32768,21447967,414
binomial,32768,21741246,433
binomial,32768,20859578,657
binomial,32768,22032239,416
binomial,32768,21454700,399
binomial,32768,21245222,414
binomial,32768,21031163,424
binomial,32768,21112666,403
binomial,32768,21306052,826
binomial,32768,21423919,425
binomial,32768,21536123,464
binomial,32768,21998346,406
binomial,32768,20908821,426
binomial,32768,21265712,397
binomial,32768,21307748,407
binomial,32768,22068941,587
binomial,65536,44470456,434
binomial,65536,42382155,418
binomial,65536,42286800,415
binomial,65536,41532653,379
binomial,65536,42513018,400
binomial,65536,42185218,527
binomial,65536,42109132,421
binomial,65536,42476303,437
binomial,65536,42521659,471
binomial,65536,42161476,465
binomial,65536,43574539,409
binomial,65536,44022754,435
binomial,65536,43339912,669
binomial,65536,42781773,436
binomial,65536,44097033,431
binomial,65536,43792481,424
binomial,65536,42104285,430
binomial,65536,42603302,401
binomial,65536,42911704,499
binomial,65536,42899431,450
binomial,65536,42125596,399
binomial,65536,42358023,453
binomial,65536,42489928,425
binomial,65536,42541100,428
binomial,65536,42794183,419
binomial,65536,44171506,427
binomial,65536,42836026,435
binomial,65536,43281992,434
binomial,65536,45448935,410
binomial,65536,43051117,406
binomial,131072,86422198,473
binomial,131072,85827851,403
binomial,131072,84830931,408
binomial,131072,84652756,426
binomial,131072,84039360,407
binomial,131072,84878466,445
binomial,131072,85186261,409
binomial,131072,84111776,408
binomial,131072,84106949,629
binomial,131072,84168834,397
binomial,131072,84434327,404
binomial,131072,85023625,436
binomial,131072,84340764,402
binomial,131072,85041056,429
binomial,131072,84489460,408
binomial,131072,85056941,421
binomial,131072,83906067,407
binomial,131072,84855984,419
binomial,131072,84248675,434
binomial,131072,89607019,419
binomial,131072,86191332,428
binomial,131072,84650430,414
binomial,131072,85238993,395
binomial,131072,84359517,435
binomial,131072,84976756,407
binomial,131072,85197558,628
binomial,131072,85149829,391
binomial,131072,85209176,450
binomial,131072,85686266,410
binomial,131072,85579331,431
binomial,262144,168810350,445
binomial,262144,169629984,422
binomial,262144,168727894,394
binomial,262144,168307076,438
binomial,262144,169940748,401
binomial,262144,170537424,440
binomial,262144,169185162,417
binomial,262144,178645705,435
binomial,262144,170473495,413
binomial,262144,168830977,432
binomial,262144,169480723,439
binomial,262144,169676452,426
binomial,262144,168691527,906
binomial,262144,170594638,416
binomial,262144,169073786,451
binomial,262144,169507432,421
binomial,262144,171549828,422
binomial,262144,175278444,426
binomial,262144,173831825,371
binomial,262144,169205273,434
binomial,262144,170420510,421
binomial,262144,169337071,439
binomial,262144,170709934,390
binomial,262144,169372810,369
binomial,262144,171443518,408
binomial,262144,169923549,627
binomial,262144,170222853,439
binomial,262144,170766818,417
binomial,262144,171997823,416
binomial,262144,170335830,430
binomial,524288,338929648,431
binomial,524288,336878827,437
binomial,524288,342037509,408
binomial,524288,337004339,427
binomial,524288,337042628,458
binomial,524288,338086081,398
binomial,524288,336259387,449
binomial,524288,336387890,783
binomial,524288,339564707,417
binomial,524288,336991167,543
binomial,524288,338271599,426
binomial,524288,341463328,421
binomial,524288,338309334,412
binomial,524288,338439374,418
binomial,524288,337134392,422
binomial,524288,337520686,422
binomial,524288,337969862,419
binomial,524288,337764699,402
binomial,524288,339831810,415
binomial,524288,348916164,430
binomial,524288,343427898,419
binomial,524288,339614120,453
binomial,524288,345123426,432
binomial,524288,348033983,433
binomial,524288,340622023,398
binomial,524288,354392361,406
binomial,524288,346512110,425
binomial,524288,341733672,431
binomial,524288,347392024,422
binomial,524288,348858686,430
fibonacci,1,3553,430
fibonacci,1,257,249
fibonacci,1,236,259
fibonacci,1,237,254
fibonacci,1,234,313
fibonacci,1,205,223
fibonacci,1,210,254
fibonacci,1,237,247
fibonacci,1,245,336
fibonacci,1,249,244
fibonacci,1,232,252
fibonacci,1,235,248
fibonacci,1,236,210
fibonacci,1,207,227
fibonacci,1,201,219
fibonacci,1,199,226
fibonacci,1,202,259
fibonacci,1,220,251
fibonacci,1,217,246
fibonacci,1,217,236
fibonacci,1,211,228
fibonacci,1,213,228
fibonacci,1,204,218
fibonacci,1,202,243
fibonacci,1,213,223
fibonacci,1,193,207
fibonacci,1,182,226
fibonacci,1,195,246
fibonacci,1,220,245
fibonacci,1,203,235
fibonacci,2,434,263
fibonacci,2,425,259
fibonacci,2,399,214
fibonacci,2,423,231
fibonacci,2,413,231
fibonacci,2,422,213
fibonacci,2,426,216
fibonacci,2,466,202
fibonacci,2,457,239
fibonacci,2,421,224
fibonacci,2,382,194
fibonacci,2,353,221
fibonacci,2,383,180
fibonacci,2,393,207
fibonacci,2,431,219
fibonacci,2,361,212
fibonacci,2,425,208
fibonacci,2,433,208
fibonacci,2,407,194
fibonacci,2,349,198
fibonacci,2,360,193
fibonacci,2,372,194
fibonacci,2,413,215
fibonacci,2,381,195
fibonacci,2,417,223
fibonacci,2,379,183
fibonacci,2,433,215
fibonacci,2,361,186
fibonacci,2,396,187
fibonacci,2,351,247
fibonacci,4,823,235
fibonacci,4,885,218
fibonacci,4,839,231
fibonacci,4,884,219
fibonacci,4,803,217
fibonacci,4,793,186
fibonacci,4,711,215
fibonacci,4,736,222
fibonacci,4,828,232
fibonacci,4,804,177
fibonacci,4,735,182
fibonacci,4,699,206
fibonacci,4,727,183
fibonacci,4,757,216
fibonacci,4,693,192
fibonacci,4,816,227
fibonacci,4,774,199
fibonacci,4,848,213
fibonacci,4,738,179
fibonacci,4,775,193
fibonacci,4,809,227
fibonacci,4,759,198
fibonacci,4,769,209
fibonacci,4,792,196
fibonacci,4,1369,297
fibonacci,4,1026,257
fibonacci,4,1024,250
fibonacci,4,888,232
fibonacci,4,1067,245
fibonacci,4,1067,248
fibonacci,8,2138,255
fibonacci,8,2247,212
fibonacci,8,1836,249
fibonacci,8,1773,235
fibonacci,8,2289,231
fibonacci,8,1639,215
fibonacci,8,1690,216
fibonacci,8,1537,213
fibonacci,8,1472,217
fibonacci,8,1537,202
fibonacci,8,1434,202
fibonacci,8,1574,222
fibonacci,8,1542,234
fibonacci,8,1547,197
fibonacci,8,1618,200
fibonacci,8,1389,186
fibonacci,8,1502,199
fibonacci,8,1540,215
fibonacci,8,1454,199
fibonacci,8,1534,211
fibonacci,8,1580,204
fibonacci,8,1902,226
fibonacci,8,2046,229
fibonacci,8,2020,259
fibonacci,8,1842,222
fibonacci,8,1889,232
fibonacci,8,1896,247
fibonacci,8,2052,260
fibonacci,8,1869,242
fibonacci,8,1651,220
fibonacci,16,3497,269
fibonacci,16,3114,261
fibonacci,16,3187,230
fibonacci,16,3122,209
fibonacci,16,3237,221
fibonacci,16,3309,216
fibonacci,16,3950,279
fibonacci,16,3459,215
fibonacci,16,3222,199
fibonacci,16,3312,229
fibonacci,16,3043,200
fibonacci,16,2820,197
fibonacci,16,3153,218
fibonacci,16,2970,201
fibonacci,16,3106,223
fibonacci,16,3346,218
fibonacci,16,3088,198
fibonacci,16,3003,202
fibonacci,16,3169,201
fibonacci,16,3201,222
fibonacci,16,3119,224
fibonacci,16,3020,203
