heap,n,full,last
binomial,8192,4966723,376
binomial,8192,4962810,358
binomial,8192,4940534,381
binomial,8192,4931685,376
binomial,8192,4953709,396
binomial,8192,4941312,363
binomial,8192,4945439,388
binomial,8192,4917888,368
binomial,8192,4909223,354
binomial,8192,4926053,395
binomial,8192,4978962,413
binomial,8192,4951742,410
binomial,8192,4939192,378
binomial,8192,4925150,383
binomial,8192,4936823,364
binomial,8192,4911676,349
binomial,8192,4952871,369
binomial,16384,10057671,421
binomial,16384,9873035,374
binomial,16384,9871471,391
binomial,16384,9896454,368
binomial,16384,9855695,329
binomial,16384,9857553,365
binomial,16384,10067939,395
binomial,16384,9904075,372
binomial,16384,9894628,413
binomial,16384,9925133,413
binomial,16384,9880165,363
binomial,16384,9871590,387
binomial,16384,9876554,390
binomial,16384,9883806,385
binomial,16384,9900810,363
binomial,16384,9884355,401
binomial,16384,9900300,384
binomial,16384,9865400,399
binomial,16384,9877567,390
binomial,16384,9938695,382
binomial,16384,9891332,346
binomial,16384,9894625,372
binomial,16384,9882804,370
binomial,16384,9965893,429
binomial,16384,9901543,356
binomial,16384,9944130,385
binomial,16384,9896682,361
binomial,16384,9895934,372
binomial,16384,9924435,376
binomial,16384,9893890,355
binomial,32768,20139080,419
binomial,32768,19867628,400
binomial,32768,19792479,368
binomial,32768,19893466,386
binomial,32768,19805542,351
binomial,32768,19816341,414
binomial,32768,19830382,406
binomial,32768,19905324,374
binomial,32768,19896548,374
binomial,32768,19931709,401
binomial,32768,19863582,380
binomial,32768,20104017,370
binomial,32768,19903655,361
binomial,32768,19947928,383
binomial,32768,19870973,400
binomial,32768,19842234,399
binomial,32768,20037806,446
binomial,32768,19890762,425
binomial,32768,19882495,397
binomial,32768,19788312,359
binomial,32768,19875039,386
binomial,32768,19897849,411
binomial,32768,19848757,380
binomial,32768,19860237,369
binomial,32768,19847818,388
binomial,32768,19936393,380
binomial,32768,19872176,431
binomial,32768,19939368,382
binomial,32768,20598522,425
binomial,32768,19957124,381
binomial,65536,40270939,390
binomial,65536,40245046,376
binomial,65536,40692012,381
binomial,65536,40901944,371
binomial,65536,40778248,373
binomial,65536,40872054,421
binomial,65536,41238553,384
binomial,65536,40560424,365
binomial,65536,40568596,358
binomial,65536,40793862,362
binomial,65536,40818994,384
binomial,65536,40798511,392
binomial,65536,40872631,370
binomial,65536,40536776,400
binomial,65536,41100066,377
binomial,65536,41020480,393
binomial,65536,40655165,401
binomial,65536,40814484,357
binomial,65536,41037649,401
binomial,65536,40731760,370
binomial,65536,40950641,360
binomial,65536,41389568,409
binomial,65536,41345207,356
binomial,65536,41372198,416
binomial,65536,41043914,401
binomial,65536,41089631,396
binomial,65536,40925099,356
binomial,65536,41224035,351
binomial,65536,41062420,444
binomial,65536,41174541,363
binomial,131072,81915397,403
binomial,131072,81876035,341
binomial,131072,81430901,373
binomial,131072,81701142,451
binomial,131072,81906176,371
binomial,131072,81880900,363
binomial,131072,81548483,418
binomial,131072,81879337,393
binomial,131072,81289179,361
binomial,131072,81910931,375
binomial,131072,81408797,412
binomial,131072,81442898,467
binomial,131072,81324386,359
binomial,131072,81949535,392
binomial,131072,82299054,400
binomial,131072,82027017,373
binomial,131072,81516697,348
binomial,131072,81567022,380
binomial,131072,82192054,402
binomial,131072,82110154,365
binomial,131072,81650701,357
binomial,131072,81765446,385
binomial,131072,81837149,378
binomial,131072,81771425,363
binomial,131072,81838207,417
binomial,131072,82761129,428
binomial,131072,82217201,408
binomial,131072,82161425,399
binomial,131072,82536643,362
binomial,131072,82201693,398
binomial,262144,164087767,387
binomial,262144,164587225,411
binomial,262144,164292735,427
binomial,262144,164408268,404
binomial,262144,164002307,390
binomial,262144,164695914,390
binomial,262144,164604528,410
binomial,262144,164794527,402
binomial,262144,164668686,383
binomial,262144,164615448,379
binomial,262144,164754513,401
binomial,262144,164477215,459
binomial,262144,164174091,415
binomial,262144,164785034,428
binomial,262144,165012896,413
binomial,262144,164174439,400
binomial,262144,164910539,447
binomial,262144,165039432,408
binomial,262144,164661024,394
binomial,262144,165326287,416
binomial,262144,165310169,449
binomial,262144,165721282,416
binomial,262144,165502385,409
binomial,262144,165579815,438
binomial,262144,165234089,429
binomial,262144,165863177,392
binomial,262144,165624648,359
binomial,262144,166197074,418
binomial,262144,165761442,413
binomial,262144,166033013,375
binomial,524288,330375890,442
binomial,524288,329634763,440
binomial,524288,330519796,401
binomial,524288,329707884,414
binomial,524288,329977774,428
binomial,524288,330186475,384
binomial,524288,330225417,423
binomial,524288,336644881,431
binomial,524288,330754238,434
binomial,524288,330151305,467
binomial,524288,330245847,405
binomial,524288,330669024,407
binomial,524288,329900766,392
binomial,524288,330690547,405
binomial,524288,331542749,386
binomial,524288,331707123,413
binomial,524288,330860567,435
binomial,524288,331009547,395
binomial,524288,330728609,459
binomial,524288,331406417,405
binomial,524288,331544065,396
binomial,524288,332012851,451
binomial,524288,331580131,406
binomial,524288,332762707,419
binomial,524288,332207048,411
binomial,524288,332635340,464
binomial,524288,332936008,389
binomial,524288,333173553,409
binomial,524288,333121073,445
binomial,524288,334008035,401
binomial,1048576,661398540,475
binomial,1048576,661006621,411
binomial,1048576,662864977,485
binomial,1048576,661322360,401
binomial,1048576,662405936,388
binomial,1048576,662388605,426
binomial,1048576,662226007,405
binomial,1048576,662684635,424
binomial,1048576,661702980,400
binomial,1048576,661925717,417
binomial,1048576,662571682,442
binomial,1048576,663589333,459
binomial,1048576,662994347,385
binomial,1048576,662882065,421
binomial,1048576,661579662,399
binomial,1048576,663796328,421
binomial,1048576,662403802,395
binomial,1048576,664612892,425
binomial,1048576,663460770,396
binomial,1048576,665595230,438
binomial,1048576,664169782,427
binomial,1048576,665030419,422
binomial,1048576,666861763,449
binomial,1048576,666405567,393
binomial,1048576,666670614,416
binomial,1048576,669053611,374
binomial,1048576,667370488,414
